,student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,Age_Group
50,S1050,0.8571428571428572,Female,1.6,1.0,3.1,No,82.8,5.5,Fair,4,Master,Good,10,Yes,0.4850948509485095,"(20, 25]"
51,S1051,0.7142857142857144,Female,2.5,3.2,0.5,No,85.7,6.5,Poor,0,High School,Average,5,No,0.4539295392953931,"(20, 25]"
52,S1052,0.2857142857142856,Female,2.4,3.6,3.6,No,86.9,7.0,Fair,6,High School,Average,1,No,0.3008130081300813,"(15, 20]"
53,S1053,0.4285714285714284,Female,4.8,2.0,3.5,No,100.0,6.0,Good,0,Bachelor,Good,7,Yes,0.6016260162601625,"(15, 20]"
54,S1054,0.8571428571428572,Female,3.1,1.9,2.6,Yes,64.0,7.1,Fair,5,High School,Good,10,No,0.5677506775067751,"(20, 25]"
55,S1055,0.4285714285714284,Male,5.4,2.8,3.8,No,91.8,6.9,Good,2,High School,Good,8,No,0.826558265582656,"(15, 20]"
56,S1056,1.0,Male,2.5,2.0,0.0,No,83.9,5.3,Good,6,Bachelor,Average,8,No,0.5487804878048781,"(20, 25]"
57,S1057,0.0,Male,3.9,2.4,1.2,No,90.7,7.1,Good,1,Bachelor,Average,7,Yes,0.6639566395663956,"(15, 20]"
58,S1058,0.2857142857142856,Female,2.2,5.0,1.0,No,78.4,7.5,Poor,5,Master,Average,2,Yes,0.27371273712737126,"(15, 20]"
59,S1059,0.5714285714285716,Female,6.7,2.2,2.6,No,84.5,6.7,Good,3,Master,Average,5,Yes,0.9607046070460705,"(20, 25]"
60,S1060,0.2857142857142856,Female,1.7,2.1,0.6,Yes,92.1,7.9,Fair,1,High School,Average,4,No,0.47425474254742556,"(15, 20]"
61,S1061,0.8571428571428572,Male,4.0,1.7,2.6,No,100.0,5.0,Fair,4,Bachelor,Good,5,No,0.6612466124661247,"(20, 25]"
62,S1062,0.5714285714285716,Male,4.5,3.4,3.3,Yes,93.1,7.1,Good,6,High School,Good,10,No,0.9281842818428185,"(20, 25]"
63,S1063,0.0,Male,4.1,2.3,2.6,Yes,76.5,5.1,Fair,3,Bachelor,Average,9,No,0.6964769647696476,"(15, 20]"
64,S1064,0.8571428571428572,Male,3.2,1.7,2.1,No,80.8,5.2,Good,3,High School,Poor,4,Yes,0.5745257452574526,"(20, 25]"
65,S1065,0.1428571428571428,Female,3.3,4.1,0.7,No,80.5,5.7,Poor,0,Master,Good,8,No,0.5880758807588076,"(15, 20]"
66,S1066,0.4285714285714284,Male,3.6,4.2,0.9,No,67.0,5.4,Good,4,Bachelor,Average,8,No,0.5460704607046072,"(15, 20]"
67,S1067,0.0,Male,3.3,1.8,3.2,No,81.7,5.8,Poor,0,Master,Good,2,No,0.48780487804878064,"(15, 20]"
68,S1068,0.4285714285714284,Female,4.9,0.3,2.7,Yes,92.3,6.2,Good,0,Bachelor,Poor,6,No,0.7574525745257452,"(15, 20]"
69,S1069,0.7142857142857144,Male,6.8,3.7,1.8,No,72.3,7.5,Poor,6,Master,Average,5,No,1.0,"(20, 25]"
70,S1070,0.1428571428571428,Female,2.7,1.7,1.3,No,95.5,6.1,Poor,2,Bachelor,Good,2,Yes,0.4539295392953931,"(15, 20]"
71,S1071,0.1428571428571428,Female,1.4,3.4,0.0,No,89.9,4.6,Fair,0,High School,Poor,10,Yes,0.39159891598916,"(15, 20]"
72,S1072,0.0,Male,3.4,0.1,0.6,No,77.7,7.9,Fair,1,High School,Average,4,Yes,0.6897018970189701,"(15, 20]"
73,S1073,0.1428571428571428,Female,7.4,3.6,3.9,No,83.6,5.5,Fair,3,High School,Average,7,Yes,0.9688346883468835,"(15, 20]"
74,S1074,0.5714285714285716,Female,2.3,1.0,0.4,No,100.0,6.4,Fair,6,,Good,1,No,0.5514905149051492,"(20, 25]"
75,S1075,0.1428571428571428,Female,6.0,3.4,2.0,Yes,92.3,7.0,Fair,0,Bachelor,Good,9,Yes,0.9986449864498645,"(15, 20]"
76,S1076,0.4285714285714284,Male,6.0,2.5,2.9,No,85.1,6.7,Poor,5,Bachelor,Average,10,Yes,1.0,"(15, 20]"
77,S1077,0.4285714285714284,Female,2.7,1.4,0.4,No,82.6,7.8,Fair,1,Bachelor,Poor,1,No,0.42005420054200554,"(15, 20]"
78,S1078,0.8571428571428572,Female,4.4,2.0,2.0,Yes,85.8,7.1,Good,4,Master,Good,5,No,0.6924119241192412,"(20, 25]"
79,S1079,0.4285714285714284,Male,5.9,3.3,2.8,Yes,79.9,5.5,Good,3,Master,Average,7,No,0.8861788617886179,"(15, 20]"
80,S1080,0.8571428571428572,Male,2.9,2.6,1.8,No,64.0,9.1,Good,6,High School,Good,8,No,0.6029810298102982,"(20, 25]"
81,S1081,0.4285714285714284,Other,3.2,3.2,5.0,No,100.0,6.7,Good,5,High School,Poor,2,No,0.42547425474254746,"(15, 20]"
82,S1082,0.5714285714285716,Female,2.6,4.9,0.0,Yes,86.6,6.3,Fair,6,High School,Poor,4,No,0.4607046070460706,"(20, 25]"
83,S1083,1.0,Male,2.0,0.6,3.0,No,89.0,7.7,Poor,6,High School,Good,2,Yes,0.32926829268292684,"(20, 25]"
84,S1084,0.8571428571428572,Female,2.5,4.4,1.6,No,84.4,6.8,Fair,5,Bachelor,Average,4,No,0.3401084010840108,"(20, 25]"
85,S1085,0.2857142857142856,Male,1.7,2.6,2.6,No,77.6,7.0,Good,4,Bachelor,Good,6,No,0.3699186991869919,"(15, 20]"
86,S1086,0.7142857142857144,Male,3.6,1.4,2.3,No,83.1,9.5,Good,5,Bachelor,Poor,6,No,0.7181571815718157,"(20, 25]"
87,S1087,0.0,Male,2.3,0.9,1.0,No,69.0,6.2,Fair,1,Master,Average,2,Yes,0.28455284552845533,"(15, 20]"
88,S1088,0.4285714285714284,Male,3.9,2.3,2.1,No,100.0,6.1,Poor,6,Bachelor,Good,4,No,0.6395663956639568,"(15, 20]"
89,S1089,0.1428571428571428,Male,1.2,3.6,0.0,No,72.7,6.6,Poor,4,High School,Average,4,Yes,0.2018970189701898,"(15, 20]"
90,S1090,1.0,Male,4.0,2.3,2.5,No,74.7,7.8,Fair,6,Bachelor,Good,1,No,0.6991869918699187,"(20, 25]"
91,S1091,0.4285714285714284,Female,4.8,4.3,2.1,No,80.6,4.7,Fair,5,High School,Average,2,No,0.5040650406504066,"(15, 20]"
92,S1092,0.1428571428571428,Male,0.5,0.8,2.5,Yes,97.9,4.1,Poor,4,High School,Good,3,No,0.23983739837398382,"(15, 20]"
93,S1093,0.7142857142857144,Male,4.1,2.5,3.0,No,85.1,5.8,Good,4,,Good,5,No,0.5962059620596207,"(20, 25]"
94,S1094,0.7142857142857144,Female,5.3,1.0,2.2,No,72.6,4.5,Fair,0,High School,Average,8,No,0.7466124661246611,"(20, 25]"
95,S1095,0.7142857142857144,Male,1.7,2.9,2.0,No,97.5,6.0,Good,0,High School,Good,6,No,0.3252032520325204,"(20, 25]"
96,S1096,0.1428571428571428,Female,6.0,3.6,0.8,No,92.3,7.1,Good,0,High School,Good,3,No,0.8360433604336044,"(15, 20]"
97,S1097,0.4285714285714284,Male,4.1,2.0,1.0,No,90.4,5.4,Good,5,Bachelor,Average,6,No,0.7411924119241193,"(15, 20]"
98,S1098,0.7142857142857144,Male,2.4,0.0,3.1,No,92.2,4.8,Good,3,Bachelor,Good,7,Yes,0.5108401084010841,"(20, 25]"
99,S1099,0.5714285714285716,Male,3.4,2.7,3.4,No,100.0,6.6,Good,1,High School,Good,6,No,0.5338753387533874,"(20, 25]"
100,S1100,0.8571428571428572,Male,4.3,3.0,1.5,No,100.0,7.5,Good,5,,Average,10,Yes,0.9078590785907861,"(20, 25]"
101,S1101,0.1428571428571428,Male,3.6,3.0,1.9,No,78.1,4.5,Good,6,Bachelor,Average,6,No,0.6476964769647697,"(15, 20]"
102,S1102,0.1428571428571428,Male,4.3,4.0,0.8,No,100.0,7.5,Fair,0,,Average,1,No,0.4688346883468835,"(15, 20]"
103,S1103,0.4285714285714284,Male,2.1,1.2,3.1,No,88.8,7.5,Good,4,Master,Average,3,No,0.3279132791327914,"(15, 20]"
104,S1104,0.1428571428571428,Male,3.8,3.3,2.5,No,90.0,7.6,Good,5,Bachelor,Good,7,No,0.6517615176151761,"(15, 20]"
105,S1105,0.1428571428571428,Male,1.4,3.9,3.9,Yes,68.1,8.0,Good,4,High School,Average,4,Yes,0.08943089430894308,"(15, 20]"
106,S1106,0.7142857142857144,Male,3.3,0.4,0.8,No,83.3,9.1,Good,6,High School,Good,4,Yes,0.7601626016260163,"(20, 25]"
107,S1107,0.4285714285714284,Male,2.1,2.9,1.4,No,76.9,6.1,Fair,4,,Average,7,No,0.4634146341463415,"(15, 20]"
108,S1108,0.7142857142857144,Female,2.4,1.9,2.1,No,93.3,6.6,Poor,4,High School,Average,9,Yes,0.45799457994579956,"(20, 25]"
109,S1109,0.8571428571428572,Female,5.4,2.4,2.5,No,95.7,6.0,Fair,2,High School,Good,2,No,0.6951219512195121,"(20, 25]"
110,S1110,1.0,Male,5.1,2.9,1.6,No,64.3,6.5,Fair,3,Bachelor,Average,9,Yes,0.8170731707317074,"(20, 25]"
111,S1111,0.8571428571428572,Female,4.4,1.9,0.8,No,84.8,8.3,Good,1,High School,Average,3,No,0.6869918699186992,"(20, 25]"
112,S1112,1.0,Female,1.9,1.7,2.8,No,96.2,4.9,Fair,1,Bachelor,Poor,6,Yes,0.23983739837398382,"(20, 25]"
113,S1113,0.7142857142857144,Male,3.0,2.5,2.6,No,83.1,5.5,Fair,0,Bachelor,Average,4,No,0.3401084010840108,"(20, 25]"
114,S1114,0.8571428571428572,Female,5.3,1.2,0.8,No,92.3,8.2,Fair,2,High School,Average,1,No,0.7737127371273713,"(20, 25]"
115,S1115,0.4285714285714284,Female,3.7,1.2,3.3,No,88.5,7.7,Poor,5,,Good,9,No,0.7655826558265584,"(15, 20]"
116,S1116,0.0,Male,7.0,3.3,3.1,No,88.4,6.1,Good,5,,Average,6,Yes,0.929539295392954,"(15, 20]"
117,S1117,0.7142857142857144,Male,4.1,1.1,1.9,No,82.3,7.5,Good,1,,Good,8,No,0.7398373983739837,"(20, 25]"
118,S1118,1.0,Female,3.8,3.3,1.9,No,72.8,6.9,Poor,3,Bachelor,Good,2,Yes,0.43495934959349597,"(20, 25]"
119,S1119,0.5714285714285716,Female,3.0,3.1,2.4,Yes,73.8,8.3,Fair,4,High School,Average,7,No,0.5433604336043361,"(20, 25]"
120,S1120,1.0,Male,3.7,0.4,0.9,No,92.1,6.6,Fair,6,Bachelor,Average,6,No,0.8360433604336044,"(20, 25]"
121,S1121,0.5714285714285716,Male,3.3,1.7,1.8,No,85.2,7.7,Poor,0,High School,Good,2,No,0.46476964769647705,"(20, 25]"
122,S1122,0.1428571428571428,Male,4.6,3.9,0.0,No,83.6,9.7,Poor,3,High School,Good,2,No,0.7940379403794038,"(15, 20]"
123,S1123,0.8571428571428572,Female,4.9,1.3,2.8,No,80.8,7.2,Good,1,Bachelor,Average,4,No,0.6883468834688347,"(20, 25]"
124,S1124,0.5714285714285716,Female,2.3,1.9,0.1,No,81.9,6.6,Fair,2,Bachelor,Average,4,No,0.48102981029810304,"(20, 25]"
125,S1125,1.0,Male,1.5,3.1,3.5,No,95.5,7.4,Fair,0,High School,Average,3,No,0.24119241192411928,"(20, 25]"
126,S1126,0.1428571428571428,Male,0.7,3.4,1.4,Yes,81.6,6.1,Poor,1,High School,Poor,8,No,0.21951219512195125,"(15, 20]"
127,S1127,0.0,Female,4.3,2.2,1.6,No,71.6,9.4,Good,5,Bachelor,Good,7,No,0.8373983739837398,"(15, 20]"
128,S1128,0.4285714285714284,Male,1.8,1.8,1.1,No,92.4,6.7,Good,0,High School,Good,2,No,0.3048780487804879,"(15, 20]"
129,S1129,0.4285714285714284,Male,0.3,4.2,1.5,No,83.0,6.2,Good,1,High School,Average,3,Yes,0.008130081300813052,"(15, 20]"
130,S1130,0.4285714285714284,Female,4.1,4.6,3.4,No,85.3,5.5,Poor,5,Bachelor,Good,10,No,0.7506775067750677,"(15, 20]"
131,S1131,0.5714285714285716,Female,7.2,3.7,0.0,No,100.0,7.8,Good,6,High School,Good,9,No,1.0,"(20, 25]"
132,S1132,0.0,Female,3.5,2.6,3.2,Yes,84.8,7.5,Fair,5,Bachelor,Average,5,Yes,0.6476964769647697,"(15, 20]"
133,S1133,0.5714285714285716,Female,4.8,1.5,2.2,No,87.9,5.9,Fair,4,Bachelor,Poor,2,Yes,0.7073170731707319,"(20, 25]"
134,S1134,0.8571428571428572,Male,3.6,1.5,0.5,No,73.2,7.2,Fair,2,Bachelor,Good,3,No,0.6029810298102982,"(20, 25]"
135,S1135,0.5714285714285716,Male,3.4,3.1,0.6,No,82.8,4.7,Fair,4,Bachelor,Good,8,No,0.6517615176151761,"(20, 25]"
136,S1136,0.0,Female,4.9,3.0,3.6,No,91.1,6.7,Good,1,Bachelor,Good,4,No,0.5609756097560976,"(15, 20]"
137,S1137,0.0,Male,3.1,4.2,0.8,No,69.4,7.0,Good,6,Bachelor,Poor,2,No,0.5216802168021681,"(15, 20]"
138,S1138,0.8571428571428572,Male,3.9,3.3,0.5,No,87.0,8.5,Fair,3,Master,Average,2,No,0.513550135501355,"(20, 25]"
139,S1139,0.0,Male,4.0,0.7,3.1,No,86.0,5.6,Good,6,High School,Poor,6,No,0.7764227642276422,"(15, 20]"
140,S1140,1.0,Male,2.5,3.8,2.2,No,85.4,5.0,Good,6,High School,Good,8,No,0.5040650406504066,"(20, 25]"
141,S1141,0.0,Male,5.0,1.3,0.8,No,95.4,5.4,Good,6,Bachelor,Good,7,No,0.948509485094851,"(15, 20]"
142,S1142,0.4285714285714284,Male,3.2,2.0,2.0,No,88.3,4.9,Fair,4,Bachelor,Poor,4,Yes,0.5311653116531168,"(15, 20]"
143,S1143,1.0,Male,2.4,2.8,0.7,No,99.8,8.1,Fair,3,,Good,2,No,0.4850948509485095,"(20, 25]"
144,S1144,1.0,Male,4.3,4.9,3.0,No,75.1,8.4,Fair,5,Master,Good,9,Yes,0.6476964769647697,"(20, 25]"
145,S1145,0.8571428571428572,Female,2.2,6.2,3.0,No,86.4,6.9,Good,1,,Good,4,No,0.27777777777777785,"(20, 25]"
146,S1146,0.2857142857142856,Female,3.5,3.2,2.4,No,85.8,8.0,Poor,2,Bachelor,Good,9,No,0.6680216802168022,"(15, 20]"
147,S1147,0.2857142857142856,Female,3.5,2.3,2.2,No,74.3,6.7,Fair,3,Bachelor,Poor,5,Yes,0.7032520325203251,"(15, 20]"
148,S1148,0.0,Female,5.1,3.1,3.7,No,94.6,6.4,Fair,1,Master,Good,7,No,0.7994579945799458,"(15, 20]"
149,S1149,1.0,Female,4.2,3.6,1.8,Yes,100.0,6.1,Fair,3,,Poor,5,No,0.6666666666666667,"(20, 25]"
150,S1150,0.2857142857142856,Male,3.5,2.1,0.5,Yes,84.8,6.1,Good,4,Bachelor,Average,2,No,0.5149051490514907,"(15, 20]"
151,S1151,0.2857142857142856,Female,4.7,4.7,2.3,No,90.1,4.6,Good,1,High School,Good,6,No,0.5894308943089432,"(15, 20]"
152,S1152,0.0,Female,5.6,2.8,4.1,No,85.8,6.8,Good,4,High School,Good,7,No,0.8685636856368564,"(15, 20]"
153,S1153,0.2857142857142856,Female,4.3,3.1,0.7,No,77.9,6.5,Good,0,,Average,6,No,0.7479674796747968,"(15, 20]"
154,S1154,0.5714285714285716,Male,3.5,3.3,1.4,No,66.8,7.4,Fair,1,Bachelor,Good,3,No,0.5257452574525745,"(20, 25]"
155,S1155,0.1428571428571428,Male,1.5,3.0,2.3,No,77.9,6.6,Fair,3,High School,Good,10,No,0.421409214092141,"(15, 20]"
156,S1156,0.8571428571428572,Male,1.9,3.5,1.7,Yes,71.1,6.3,Fair,0,High School,Good,8,No,0.42682926829268303,"(20, 25]"
157,S1157,0.1428571428571428,Male,3.0,1.8,0.7,No,100.0,5.5,Poor,4,Bachelor,Poor,3,No,0.41327913279132805,"(15, 20]"
158,S1158,0.0,Female,2.6,1.8,3.0,No,83.8,6.6,Fair,4,Bachelor,Good,5,Yes,0.489159891598916,"(15, 20]"
159,S1159,0.4285714285714284,Female,3.2,1.2,4.4,No,81.5,7.4,Good,3,Bachelor,Average,9,No,0.7005420054200544,"(15, 20]"
160,S1160,0.8571428571428572,Male,3.6,3.0,2.0,No,93.9,5.1,Fair,0,Master,Average,5,No,0.5284552845528456,"(20, 25]"
161,S1161,0.0,Other,4.3,3.4,0.8,No,73.8,6.6,Good,6,High School,Average,7,No,0.6856368563685638,"(15, 20]"
162,S1162,1.0,Female,3.4,3.0,0.1,No,77.3,6.8,Fair,5,Master,Average,7,No,0.7804878048780488,"(20, 25]"
163,S1163,0.4285714285714284,Male,4.2,4.5,2.1,No,85.7,5.6,Poor,2,Master,Good,5,No,0.6016260162601625,"(15, 20]"
164,S1164,0.1428571428571428,Male,3.6,2.5,3.0,No,95.3,5.8,Poor,3,High School,Average,2,Yes,0.5,"(15, 20]"
165,S1165,0.0,Male,0.5,3.3,2.3,No,90.0,6.8,Fair,4,High School,Good,5,No,0.17344173441734417,"(15, 20]"
166,S1166,1.0,Male,2.1,1.2,1.8,No,87.5,5.1,Fair,1,High School,Average,7,No,0.5487804878048781,"(20, 25]"
167,S1167,0.8571428571428572,Male,3.3,2.0,1.2,Yes,85.8,6.9,Poor,0,High School,Good,7,No,0.6233062330623307,"(20, 25]"
168,S1168,0.8571428571428572,Male,1.7,3.3,0.6,No,89.0,5.4,Fair,5,Bachelor,Good,4,Yes,0.3238482384823849,"(20, 25]"
169,S1169,0.7142857142857144,Male,4.4,3.5,2.7,Yes,87.0,7.8,Fair,2,Bachelor,Good,1,No,0.49051490514905155,"(20, 25]"
170,S1170,1.0,Male,5.8,2.1,2.8,No,74.7,9.3,Fair,1,Bachelor,Good,6,No,0.9539295392953928,"(20, 25]"
171,S1171,0.5714285714285716,Female,5.3,2.4,0.1,No,85.5,5.5,Good,0,Bachelor,Good,3,Yes,0.8075880758807588,"(20, 25]"
172,S1172,0.2857142857142856,Male,3.2,0.7,3.5,No,74.3,7.1,Good,5,High School,Good,5,No,0.570460704607046,"(15, 20]"
173,S1173,0.4285714285714284,Female,5.7,2.1,2.4,No,85.8,5.6,Fair,3,Master,Good,4,Yes,0.7804878048780488,"(15, 20]"
174,S1174,1.0,Male,3.7,3.6,3.3,Yes,80.2,7.7,Good,5,High School,Poor,2,No,0.5840108401084012,"(20, 25]"
175,S1175,0.7142857142857144,Other,3.0,3.2,0.3,No,100.0,5.0,Good,3,Master,Good,7,No,0.5298102981029811,"(20, 25]"
176,S1176,0.2857142857142856,Male,2.6,3.1,0.3,No,84.6,7.1,Good,6,High School,Average,5,Yes,0.6951219512195121,"(15, 20]"
177,S1177,0.2857142857142856,Male,3.0,2.6,1.6,No,71.0,5.5,Fair,0,Master,Average,7,Yes,0.39024390243902446,"(15, 20]"
178,S1178,0.0,Other,2.9,2.5,2.4,Yes,83.7,6.3,Poor,5,,Good,9,No,0.5284552845528456,"(15, 20]"
179,S1179,0.2857142857142856,Female,3.8,1.7,3.8,No,90.2,5.3,Good,2,High School,Average,4,No,0.43224932249322506,"(15, 20]"
180,S1180,0.5714285714285716,Female,3.7,3.3,2.6,Yes,100.0,7.5,Fair,5,,Good,5,No,0.5826558265582658,"(20, 25]"
181,S1181,0.8571428571428572,Male,3.5,3.0,1.5,Yes,79.1,5.5,Good,0,Bachelor,Average,9,No,0.5582655826558267,"(20, 25]"
182,S1182,0.7142857142857144,Male,4.2,3.1,0.7,No,69.2,7.2,Good,1,Master,Poor,10,No,0.7276422764227644,"(20, 25]"
183,S1183,0.2857142857142856,Female,5.3,1.9,3.2,No,93.2,6.1,Fair,1,High School,Average,4,Yes,0.8062330623306233,"(15, 20]"
184,S1184,0.0,Female,4.9,0.0,0.7,No,71.2,6.4,Fair,5,Master,Poor,5,No,0.948509485094851,"(15, 20]"
